Claim Description,Coverage Code,Accident Source,topic,probability,topic_name
"THE IV WAS MAKING A LEFT TURN ON A GREEN ARROW WHEN A PEDESTRIAN  RAN INTO THE P/S OF IV. THE IV WAS DENTED ON THE FRONT P/S OF THE HOOD, THEN FELL BACKWARDS TO THE PAVEMENT. THE PEDESTRIAN         EXPERIENCED A LUMP ON HIS HEAD.",AN,"Struck pedestrian, bicycle",1,0.8745707247385849,Slip / Trip / Fall
CLAIMANT ALLEGES SHE SUFFERED INJURIES IN AN ELEVATOR.,GB,Elevator/Escalator,0,1.0,Rear-End Collision (IV hits OV)
"IV PASSENGER SUSTAINED INJURIES, OV AND IV COLLIDED CAUSING IV TO HIT ANOTHER OV AS WELL",AB,Sideswipe or lane change,-1,0.0,Miscellaneous / Noise
CLAIMANT ALLEGES SHE WAS BURNED UNKNOWN DEGREE FROM HOT TEA SHE   ORDERED IN THE DT AFTER THE LID POPPED OFF BURNING HER RIGHT LEG  AND SEAT. *UNKNOWN IF DELIVERY*,PA,Food Product,15,0.7594004677346803,Rear-End Collision (Client hits others)
THE IV WAS MERGING INTO A CONSTRUCTION ZONE WHEN IT REAR ENDED THEOV. THE OV INCURRED DAMAGE TO THE D/S REAR CORNER. THERE WERE NO  INJURIES REPORTED.,AD,Struck vehicle in rear,1,1.0,Slip / Trip / Fall
OV SITTING AT STOP LIGHT WAITING TO TURN WHEN IV R/E OV,AD,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
AT ABOUT 230 PM GAVIN CALLED STATING THAT WHILE HE WAS IN THE HOMEPREFORMING A SERVICE VISIT HIS ALARM WENT OFF SO HE LOOKED OUT THEWINDOW. THE NEIGHBOR HAD BACKED OUT OF THEIR DRIVEWAY AND CUT IT  TOO SHARP AND HIT THE REAR DRIVER SIDE DOOR AND BUMPER.  THE OTHERDRIVER HAD TO GET BACK TO WORK AND JUST GAVE THE INFORMATION      NEEDED ( DL AND INSURANCE).  GAVIN CONTACTED THE LOCAL POLICE     DEPARTMENT AND SINCE THEY ALREADY EXCHANGED INFORMATION AND THE   OTHER DRIVER HAD TO LEAVE NO,AD,Backed into vehicle or object,-1,0.0,Miscellaneous / Noise
MBR SLIPPED AND FELL ON A PUDDLE OF WATER IN CLOTHING. THE MBR    THE APPEARED INTOXICATED AND SMELLED LIKE ALCOHOL.,GB,Alleged improper maintenance - other,-1,0.0,Miscellaneous / Noise
"RECEIVED A CALL FROM JOANN ADKINS ABOUT HER FALL ON 1/17/23 AT    6:10PM AT THE ENTRANCE TO THE HOTEL, I TOLD HER THAT OUR INSURANCECOMPANY WILL CALL HER NECT WEEK.",GB,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
CLAIMANT SUFFERED BODILY INJURY DUE TO PICKED UP SOME CERTAIN BAG AND HE FELT THE LEFT SIDE OF HIS BODY,EL,Fall - other falls,0,0.9187188044287342,Rear-End Collision (IV hits OV)
SMALL PD IV DRIVER WAS LOADING THE COMPACTOR AND FORGOT TO        DISCONNECT THE HYDRAULIC AND ELECTRICAL LINES. THE LINES AND      FITTINGS WERE BROKEN AND THE HYDRAULIC UNIT WAS MOVED FROM IT'S   ORIGINAL LOCATION.,AL,Struck animal or object,6,1.0,School Bus / Student Accident
MEMBER CLAIMS 17 DAYS AFTER HIS SERVICE THAT HE NOTICED THE TWO   DRIVER SIDE CENTER WHEEL CAPS ARE ROTATING.,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
"EMPLOYEE WAS DRIVING SOUTHBOUND ON ALMOND AVE/GOLDEN STATE BLVD INMADERA CA, WHEN VEHICLE IN FRONT OF HIM ABBRUPTLY STOPPED.        EMPLOYEE REAR-ENDED 2ND PARTY VEHICLE.",AD,Sideswipe or lane change,2,0.8522434394727075,Water Damage / Frozen Pipes
"INJURIES | DRIVER GUIDED THE STUDENT TO THE FRONT OF THE BUS TO   THE DOOR AND TOLD THE STUDENT TO GET OFF THE BUS, AND GO WITH THE PRINCIPLE. DRIVER TOLD STUDENT HE WAS BEING TOO DISRESPECTFUL AND NOT FOLLOWING BUS SAFETY RULES. WHEN STUDENT GOT OFF THE BUS HE   WAS DANCING AROUND AND JUMPING UP AND DOWN. PRINCIPLE TOOK STUDENTBACK INTO SCHOOL. STUDENT LATER CLAIMED THAT THE DRIVER PUSHED HIMINTO HIS SEAT AND FRACTURED HIS ELBOW.",AB,Malicious Mischief,8,1.0,Police / Driveway Incidents
